cost,retail_price,name,profit_margin
404.5950011909008,999.0,Darla,594.4049988090992
381.90000243484974,950.0,Nobis Yatesy Parka,568.09999756515026
363.00600231438881,903.0,The North Face Apex Bionic Soft Shell Jacket - Men's,539.99399768561125
367.52100137248641,903.0,The North Face Nuptse 2 Jacket Deep Water Blue Mens,535.47899862751365
369.32700166851282,903.0,The North Face Freedom Mens Ski Pants 2013,533.67299833148718
370.23000181652606,903.0,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,532.769998183474
370.23000181652606,903.0,JORDAN DURASHEEN SHORT MENS 404309-109,532.769998183474
373.84200156759471,903.0,ASCIS Cushion Low Socks (Pack of 3),529.15799843240529
375.648001443129,903.0,adidas Women's adiFIT Slim Pant,527.351998556871
378.356999784708,903.0,The North Face Women's S-XL Oso Jacket,524.643000215292
482.51699907705193,999.0,Alpha Industries Rip Stop Short,516.48300092294812
478.17000277340406,990.0,Woolrich Arctic Parka DF,511.82999722659594
391.90200200490654,903.0,The North Face Apex Bionic Soft Shell Jacket - Men's,511.09799799509346
395.5140009149909,903.0,The North Face Denali Down Womens Jacket 2013,507.4859990850091
399.12600129679777,903.0,The North Face Apex Bionic Jacket - Men's,503.87399870320223
403.64100224711,903.0,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,499.35899775289
409.05900145322079,903.0,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,493.94099854677921
408.59000090323383,898.0,Diesel Men's Lophophora Leather Jacket,489.40999909676617
419.89500154741114,903.0,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,483.10499845258886
420.79799833148718,903.0,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,482.20200166851282
337.410001414828,815.0,Canada Goose Men's The Chateau Jacket,477.589998585172
280.50000127404928,750.0,Canada Goose Women's Mystique,469.49999872595072
436.14900252968073,903.0,The North Face Denali Down Mens Jacket 2013,466.85099747031927
437.05200099572534,903.0,The North Face Denali Down Womens Jacket 2013,465.94799900427466
434.074997799471,895.0,Catherine Malandrino Women's Skinny Stretch Leather Pant,460.925002200529
364.64999907184392,825.0,Nobis Tula Parka,460.35000092815608
454.20900002354762,903.0,AIR JORDAN DOMINATE SHORTS MENS 465071-100,448.79099997645238
306.74590459771844,749.989990234375,Bergama Natural Raccoon Hooded Stroller - - Multicolor,443.24408563665656
258.95800214260817,698.0,Magaschoni Women's Shimmer Jacket,439.04199785739183
378.16000126302242,815.0,Canada Goose Men's The Chateau Jacket,436.83999873697758
261.32000140845776,695.0,Canada Goose Women's Solaris,433.67999859154224
472.2690000403673,903.0,Quiksilver Men's Rockefeller Walkshort,430.7309999596327
335.0360010885633,758.0,Diesel Men's Lisardo Jacket,422.9639989114367
330.00000100582838,750.0,Nobis Men's Cartel Jacket,419.99999899417162
382.39499900490046,795.0,Nobis Merideth Parka,412.60500099509954
387.16499978676438,795.0,Canada Goose Men's Citadel Parka,407.83500021323562
287.73000055924058,695.0,Canada Goose Women's Chilliwack Bomber,407.26999944075942
395.90999973937863,795.0,Canada Goose Women's Expedition Parka,399.09000026062137
296.06999933719635,695.0,Canada Goose Women's Whistler Parka,398.93000066280365
296.76499945111573,695.0,Canada Goose Women's Solaris,398.23500054888427
353.24999922886491,750.0,Canada Goose Women's Mystique,396.75000077113509
300.21840594137126,694.95001220703125,Canada Goose Men's Langford Parka,394.73160626566
304.32799787819386,698.0,Diesel Men's Jimeneo Jacket,393.67200212180614
305.02599929273129,698.0,Robert Graham Men's Barbican Velvet Blazer,392.97400070726871
512.00099982507527,903.0,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,390.99900017492473
209.89799987524748,598.0,Robert Graham Men's Minstrel Dinner Jacket,388.10200012475252
524.643000215292,903.0,The North Face Apex Bionic Soft Shell Jacket - Men's,378.356999784708
248.12499992549417,625.0,Arc'teryx Men's Alpha SV Jacket,376.87500007450581
224.90999918431044,595.0,Robert Rodriguez Women's High Waisted Pencil Skirt,370.09000081568956
537.285001446493,903.0,Jordan Low Quarter Sock Style # 427411,365.71499855350703
342.50999885424966,699.0,Arc'teryx Women's Caliber Cardigan,356.49000114575034
339.15999992750585,695.0,True Religion Women's Casey Stretch Leather Pants,355.84000007249415
343.90799908339977,699.0,Arc'teryx Moray Jacket - Women's,355.09200091660023
295.7499994430691,650.0,Spyder Women's Jesst In Time Jacket,354.2500005569309
249.96399864554405,598.0,Rebecca Minkoff Women's Leather Luciana Skirt,348.03600135445595
557.15100217983127,903.0,Nike Jordan Retro 11 Bred Bootie Socks,345.84899782016873
253.37699913419783,599.0,Jones New York Women's Hidden Snap Notch Collar Coat,345.62300086580217
256.19999952614307,600.0,Harris Tweed Wool Jacket-Dougal Limited Edition,343.80000047385693
308.75000096857548,650.0,Mountain Hardwear Men's Nilas Down Jacket,341.24999903142452
247.5480000525713,588.0,Magaschoni Women's 100% Cashmere Cable Sweater Jacket,340.4519999474287
243.2250002399087,575.0,Faconnable Men's Reversible Trench Coat,331.7749997600913
267.9040010292083,598.0,Diesel Men's Lagnum Leather Jacket,330.0959989707917
169.78500109165907,495.0,MiH Jeans Women's Aztec Jacket,325.21499890834093
